Gender,Age,BMI,Duration,Heart Rate,Body Temperature,Calorie Consumption
female,79,25.95,8.0,87.0,39.4,38.0
female,69,24.57,25.0,99.0,40.7,149.0
male,26,24.9,23.0,104.0,40.3,125.0
male,74,27.17,19.0,97.0,40.7,133.0
male,74,24.52,13.0,97.0,39.9,89.0
female,31,23.31,19.0,99.0,40.3,102.0
female,32,21.99,4.0,91.0,39.0,19.0
female,74,24.89,9.0,90.0,39.6,48.0
male,78,25.4,26.0,107.0,40.6,223.0
male,24,23.89,27.0,108.0,40.7,167.0
female,52,23.2,6.0,85.0,39.2,25.0
female,22,22.95,7.0,91.0,39.4,31.0
female,24,22.83,15.0,98.0,40.3,80.0
female,45,24.74,9.0,96.0,39.8,47.0
male,29,25.25,26.0,105.0,40.9,160.0
female,60,24.86,10.0,98.0,39.8,57.0
female,32,23.8,5.0,79.0,38.9,17.0
male,26,24.88,10.0,86.0,39.4,29.0
female,44,26.14,18.0,96.0,40.4,96.0
male,53,23.55,12.0,91.0,40.0,58.0
male,22,25.71,22.0,113.0,40.6,150.0
female,52,22.72,20.0,99.0,40.3,114.0
male,70,26.79,6.0,96.0,39.2,39.0
female,32,25.33,19.0,96.0,40.3,98.0
male,72,25.77,19.0,103.0,40.6,149.0
female,73,23.64,22.0,97.0,40.8,135.0
male,38,26.8,16.0,97.0,40.1,89.0
male,40,27.17,11.0,95.0,40.0,56.0
male,51,24.64,15.0,104.0,39.7,103.0
female,45,24.09,8.0,80.0,40.0,29.0
female,29,22.43,10.0,91.0,39.9,46.0
female,51,22.31,19.0,92.0,40.3,96.0
female,56,21.63,8.0,90.0,39.3,40.0
female,22,23.05,2.0,85.0,38.5,7.0
male,62,26.88,5.0,84.0,39.5,23.0
female,72,24.86,12.0,94.0,40.1,69.0
male,38,26.37,20.0,94.0,40.5,90.0
female,42,22.52,15.0,99.0,40.2,86.0
male,27,23.91,7.0,89.0,39.5,24.0
male,23,23.74,24.0,104.0,40.9,130.0
female,32,22.81,15.0,99.0,40.0,83.0
female,24,23.88,23.0,105.0,40.8,135.0
female,36,23.63,11.0,91.0,40.2,53.0
female,35,22.13,25.0,107.0,40.8,156.0
female,72,24.8,12.0,85.0,39.8,54.0
male,23,22.86,5.0,78.0,39.0,6.0
female,71,25.07,26.0,111.0,40.8,193.0
female,27,22.28,6.0,82.0,39.2,21.0
female,74,26.79,30.0,111.0,40.8,215.0
female,42,20.93,9.0,89.0,39.4,43.0
female,29,24.02,10.0,90.0,40.2,43.0
female,73,23.59,7.0,83.0,39.5,31.0
female,49,23.39,4.0,94.0,39.1,20.0
male,38,23.45,9.0,95.0,39.5,43.0
female,22,23.92,5.0,82.0,39.4,16.0
female,64,22.2,3.0,87.0,38.6,14.0
female,42,23.94,24.0,97.0,40.6,130.0
female,41,23.34,3.0,87.0,38.5,13.0
male,67,25.25,15.0,87.0,40.6,74.0
male,68,25.44,1.0,87.0,37.8,5.0
female,35,24.62,16.0,94.0,39.8,76.0
male,41,24.22,19.0,104.0,40.4,119.0
female,36,22.72,17.0,97.0,40.2,88.0
male,69,24.98,10.0,92.0,39.6,61.0
male,76,26.31,16.0,95.0,40.2,111.0
male,25,26.53,29.0,108.0,40.6,179.0
male,45,26.56,25.0,104.0,40.9,164.0
female,63,22.31,26.0,104.0,41.1,168.0
female,32,22.37,8.0,91.0,39.6,38.0
female,56,24.61,21.0,96.0,40.8,115.0
female,22,22.14,18.0,97.0,40.3,91.0
female,25,23.34,21.0,96.0,40.9,105.0
female,27,22.79,9.0,91.0,39.8,38.0
female,32,24.86,21.0,103.0,40.5,118.0
male,30,26.31,14.0,95.0,40.3,64.0
female,40,20.83,24.0,108.0,40.4,160.0
female,53,24.26,12.0,95.0,40.0,62.0
male,35,25.06,6.0,92.0,39.4,25.0
male,42,25.77,30.0,107.0,40.7,211.0
male,63,27.92,14.0,94.0,40.2,88.0
male,44,23.7,16.0,100.0,40.5,93.0
male,50,25.28,28.0,108.0,40.9,196.0
female,20,22.76,29.0,98.0,40.9,147.0
male,70,26.28,17.0,96.0,40.3,112.0
female,21,23.1,26.0,106.0,40.8,151.0
female,54,23.15,9.0,94.0,39.5,48.0
female,21,22.68,19.0,95.0,40.3,91.0
female,47,24.72,27.0,104.0,40.8,161.0
male,34,25.51,25.0,111.0,41.2,182.0
female,51,23.59,25.0,91.0,40.5,122.0
female,25,22.86,20.0,105.0,40.4,117.0
female,22,21.71,22.0,96.0,40.6,106.0
female,60,22.04,4.0,86.0,38.6,18.0
female,28,25.39,24.0,104.0,40.6,140.0
male,68,24.16,11.0,94.0,39.8,64.0
female,23,21.67,28.0,113.0,40.5,190.0
male,60,25.85,25.0,104.0,40.6,179.0
female,23,22.55,17.0,90.0,40.2,74.0
female,32,22.76,7.0,82.0,39.3,25.0
male,34,26.04,26.0,98.0,40.8,137.0
male,27,24.15,3.0,74.0,38.9,3.0
male,38,26.47,19.0,100.0,40.4,115.0
male,22,25.99,24.0,104.0,40.2,131.0
male,44,25.28,27.0,110.0,40.5,197.0
female,45,23.67,23.0,98.0,40.4,126.0
female,60,22.58,11.0,91.0,39.7,56.0
female,42,24.07,6.0,79.0,39.3,19.0
male,60,24.97,30.0,112.0,40.9,259.0
female,45,22.98,2.0,75.0,38.3,6.0
male,38,24.44,15.0,92.0,40.1,62.0
female,69,24.01,23.0,104.0,40.8,152.0
male,60,23.41,24.0,108.0,40.4,190.0
female,53,22.09,18.0,95.0,40.6,95.0
male,20,24.73,2.0,83.0,37.9,4.0
female,62,24.3,16.0,91.0,40.7,78.0
male,44,25.51,28.0,113.0,40.9,211.0
female,76,25.73,11.0,98.0,40.0,63.0
male,27,25.17,14.0,98.0,40.2,67.0
male,20,23.55,22.0,103.0,40.6,114.0
male,78,26.54,9.0,89.0,39.7,56.0
female,62,25.89,13.0,86.0,40.4,59.0
male,52,25.99,27.0,111.0,41.2,215.0
female,27,22.72,18.0,99.0,40.4,94.0
male,25,23.53,25.0,110.0,40.6,152.0
female,43,21.63,9.0,84.0,39.5,36.0
female,36,23.72,1.0,83.0,37.3,4.0
male,20,24.94,9.0,100.0,39.7,44.0
female,28,21.67,11.0,91.0,39.8,50.0
male,40,24.86,6.0,92.0,39.2,26.0
female,43,22.65,21.0,99.0,40.6,116.0
male,60,26.31,17.0,80.0,40.3,66.0
female,26,21.78,24.0,104.0,40.9,145.0
female,56,24.38,4.0,74.0,39.0,12.0
male,40,24.26,21.0,108.0,40.7,150.0
female,40,24.3,14.0,89.0,40.3,60.0
female,71,25.91,13.0,98.0,40.1,76.0
female,40,23.24,4.0,84.0,38.6,15.0
male,40,26.87,5.0,80.0,39.0,14.0
female,36,21.97,27.0,117.0,40.6,200.0
female,51,24.09,16.0,96.0,40.1,87.0
female,30,22.63,27.0,112.0,41.1,189.0
female,25,21.38,26.0,104.0,40.6,151.0
female,25,23.77,7.0,86.0,39.8,26.0
female,22,24.17,30.0,98.0,41.1,153.0
male,74,26.57,14.0,88.0,40.0,78.0
male,61,25.38,15.0,101.0,40.0,103.0
male,36,24.07,6.0,85.0,39.2,18.0
male,52,26.04,24.0,111.0,40.7,194.0
male,29,24.33,7.0,83.0,39.3,18.0
female,44,22.6,29.0,107.0,40.9,191.0
male,27,23.59,13.0,99.0,40.2,62.0
female,55,24.11,7.0,82.0,39.4,29.0
female,28,21.41,14.0,94.0,40.1,68.0
female,25,23.51,22.0,110.0,40.2,142.0
female,68,23.37,26.0,105.0,40.8,177.0
female,48,23.56,14.0,95.0,40.5,76.0
male,20,25.77,9.0,92.0,40.0,33.0
male,57,27.15,6.0,75.0,39.2,20.0
male,24,25.48,14.0,92.0,39.9,54.0
female,52,22.81,16.0,99.0,40.4,95.0
male,67,24.88,9.0,87.0,39.5,46.0
female,74,23.5,7.0,87.0,39.0,33.0
female,30,21.93,22.0,97.0,40.7,117.0
female,37,25.1,29.0,113.0,40.7,200.0
male,38,24.15,27.0,114.0,40.6,205.0
female,37,22.6,25.0,108.0,41.0,159.0
female,37,22.02,14.0,97.0,39.9,73.0
male,30,25.45,3.0,91.0,38.4,12.0
male,23,25.48,23.0,107.0,40.8,139.0
female,36,25.01,13.0,106.0,40.1,79.0
male,61,27.43,25.0,110.0,40.4,212.0
female,34,22.76,2.0,82.0,37.8,7.0
male,72,25.59,25.0,99.0,40.7,175.0
female,38,24.02,6.0,84.0,39.3,23.0
male,54,23.7,2.0,83.0,38.3,7.0
male,76,26.88,7.0,98.0,39.1,51.0
female,66,22.53,7.0,86.0,39.4,32.0
female,65,25.4,14.0,98.0,39.8,81.0
female,57,25.33,1.0,84.0,37.8,4.0
female,41,24.77,16.0,96.0,40.1,86.0
female,41,24.24,26.0,110.0,40.9,178.0
male,54,27.47,12.0,94.0,40.0,67.0
female,66,22.23,28.0,96.0,40.6,158.0
male,42,23.51,28.0,107.0,41.1,183.0
male,22,26.49,20.0,99.0,40.4,92.0
female,44,24.72,28.0,104.0,40.8,165.0
female,51,25.33,18.0,100.0,40.1,107.0
female,33,22.27,13.0,100.0,40.0,73.0
female,39,24.46,7.0,85.0,39.6,28.0
female,37,22.53,24.0,98.0,40.6,126.0
male,58,26.54,12.0,92.0,40.3,64.0
male,50,26.47,5.0,86.0,39.2,20.0
female,20,23.66,18.0,105.0,40.6,103.0
male,28,24.03,7.0,87.0,39.3,21.0
female,27,24.69,13.0,93.0,40.0,58.0
male,43,24.84,14.0,96.0,40.2,73.0
female,38,22.76,5.0,79.0,38.9,17.0
male,22,24.59,17.0,94.0,40.1,67.0
male,21,24.51,21.0,109.0,40.4,137.0
female,74,25.53,23.0,100.0,40.8,143.0
male,22,25.28,13.0,96.0,39.9,54.0
female,23,23.18,3.0,88.0,38.3,12.0
male,43,26.88,25.0,102.0,40.7,158.0
male,47,27.52,1.0,83.0,38.2,4.0
male,44,26.6,12.0,94.0,40.0,62.0
male,56,25.25,25.0,109.0,40.6,192.0
female,25,22.35,12.0,95.0,40.1,60.0
female,31,23.67,28.0,113.0,40.7,192.0
female,27,22.64,24.0,109.0,41.0,157.0
male,42,25.73,10.0,92.0,39.9,47.0
female,33,24.61,4.0,88.0,39.1,17.0
male,60,28.02,26.0,104.0,40.9,196.0
female,63,26.44,9.0,97.0,39.9,55.0
female,25,20.96,22.0,99.0,40.7,120.0
male,69,25.16,20.0,107.0,40.5,157.0
female,40,22.46,5.0,87.0,38.9,21.0
female,21,24.0,10.0,88.0,39.8,39.0
female,25,23.78,9.0,93.0,39.6,41.0
male,29,23.55,18.0,97.0,40.3,90.0
female,68,22.91,3.0,85.0,38.5,13.0
male,74,26.31,5.0,85.0,39.2,26.0
male,20,26.02,10.0,89.0,39.5,34.0
male,22,23.54,8.0,90.0,39.4,28.0
male,24,25.93,8.0,97.0,39.6,35.0
male,32,25.43,3.0,79.0,38.6,6.0
female,59,25.08,12.0,86.0,40.2,50.0
female,36,24.13,13.0,91.0,39.9,60.0
female,53,24.68,6.0,75.0,39.5,18.0
female,28,23.73,12.0,91.0,39.9,54.0
male,27,24.72,14.0,86.0,40.5,40.0
male,20,22.72,4.0,87.0,39.1,10.0
male,71,24.09,18.0,98.0,40.2,117.0
male,25,24.28,26.0,111.0,40.7,171.0
female,60,22.48,24.0,112.0,40.6,176.0
male,76,25.77,17.0,101.0,40.3,132.0
male,72,27.67,12.0,98.0,40.0,87.0
female,72,24.78,12.0,90.0,40.0,63.0
male,47,22.77,9.0,94.0,39.8,40.0
female,31,23.74,13.0,95.0,40.0,64.0
male,27,23.89,13.0,94.0,39.8,52.0
male,55,24.73,9.0,86.0,39.7,36.0
male,66,24.49,6.0,86.0,39.1,30.0
male,28,26.83,24.0,110.0,40.7,158.0
male,42,25.47,25.0,111.0,40.9,182.0
female,21,22.89,29.0,112.0,40.9,195.0
female,47,24.45,7.0,90.0,39.5,32.0
female,22,21.22,29.0,102.0,40.6,164.0
female,29,23.14,15.0,97.0,40.0,80.0
male,21,24.93,11.0,86.0,39.7,28.0
female,64,24.24,8.0,80.0,39.4,31.0
female,62,23.05,5.0,82.0,39.1,21.0
female,47,23.66,19.0,99.0,40.4,106.0
male,51,25.5,14.0,102.0,40.3,94.0
male,27,24.62,18.0,94.0,40.2,72.0
male,25,27.15,27.0,103.0,40.7,153.0
female,41,24.52,28.0,102.0,40.9,157.0
male,24,25.1,21.0,98.0,40.6,93.0
male,31,25.46,11.0,99.0,40.5,57.0
male,44,27.22,3.0,93.0,38.6,14.0
female,50,23.05,17.0,107.0,40.4,112.0
female,56,22.21,5.0,89.0,38.7,24.0
male,23,24.69,14.0,84.0,40.2,36.0
male,62,24.93,26.0,104.0,40.7,187.0
male,37,22.84,15.0,103.0,39.9,84.0
male,77,26.88,29.0,102.0,40.8,230.0
female,43,23.74,29.0,108.0,40.5,195.0
male,37,25.5,8.0,84.0,39.8,27.0
male,34,25.35,8.0,94.0,39.3,34.0
male,23,25.71,8.0,91.0,39.6,29.0
male,43,26.59,11.0,98.0,39.7,63.0
female,56,23.23,24.0,104.0,40.2,154.0
female,41,24.86,4.0,94.0,38.6,19.0
male,70,27.55,9.0,85.0,39.8,48.0
female,27,22.43,25.0,97.0,40.9,130.0
male,21,24.5,29.0,111.0,40.7,194.0
female,53,26.31,20.0,96.0,40.5,110.0
male,32,24.96,19.0,102.0,40.6,109.0
male,30,24.72,9.0,97.0,39.8,42.0
female,36,22.77,6.0,83.0,39.3,23.0
female,69,22.51,2.0,88.0,38.4,10.0
male,29,23.12,9.0,86.0,39.5,28.0
female,59,22.96,25.0,103.0,41.0,158.0
male,77,23.91,24.0,103.0,40.7,192.0
male,23,25.06,20.0,104.0,40.2,108.0
female,39,24.57,12.0,95.0,40.4,60.0
male,72,25.39,3.0,81.0,39.0,12.0
male,40,24.07,14.0,89.0,40.1,54.0
female,29,24.17,24.0,106.0,40.8,146.0
male,31,25.9,6.0,92.0,39.3,28.0
male,20,24.51,22.0,97.0,40.5,87.0
female,22,21.97,25.0,109.0,40.6,157.0
female,23,21.01,21.0,99.0,40.5,111.0
male,53,25.64,16.0,90.0,40.1,76.0
male,49,27.47,16.0,103.0,40.3,107.0
male,25,23.89,19.0,107.0,40.5,110.0
female,47,24.68,27.0,103.0,40.9,163.0
female,63,23.5,16.0,104.0,40.1,106.0
male,46,26.3,17.0,95.0,40.1,90.0
female,20,22.03,20.0,105.0,40.5,119.0
female,52,25.3,21.0,102.0,40.4,129.0
female,29,24.28,9.0,89.0,40.0,38.0
female,30,20.25,24.0,105.0,41.0,151.0
female,40,22.23,20.0,101.0,40.7,115.0
female,64,24.57,26.0,106.0,40.9,167.0
female,28,24.08,22.0,104.0,40.7,122.0
male,21,25.24,10.0,90.0,39.9,34.0
female,61,23.05,14.0,91.0,40.2,70.0
female,73,23.94,2.0,87.0,38.5,9.0
male,64,25.85,7.0,85.0,39.8,31.0
female,30,24.0,7.0,88.0,39.3,30.0
female,49,22.94,26.0,104.0,40.7,166.0
female,51,23.46,23.0,97.0,40.5,126.0
female,33,23.73,12.0,102.0,40.0,70.0
female,68,23.23,14.0,85.0,40.2,65.0
male,33,26.59,12.0,94.0,40.1,55.0
female,30,23.73,16.0,89.0,40.4,69.0
female,57,24.16,15.0,94.0,40.4,77.0
female,21,23.88,24.0,106.0,40.7,142.0
male,28,23.77,22.0,105.0,40.8,128.0
male,37,26.4,26.0,107.0,40.8,168.0
female,60,24.28,30.0,115.0,40.9,225.0
female,21,24.01,8.0,91.0,39.8,35.0
female,55,22.31,8.0,80.0,39.7,31.0
female,38,22.23,2.0,82.0,37.8,7.0
male,53,26.87,14.0,92.0,40.1,73.0
female,44,23.38,25.0,110.0,40.7,169.0
female,20,23.56,3.0,77.0,38.6,9.0
female,37,25.48,12.0,87.0,39.9,51.0
female,48,22.59,26.0,102.0,40.9,152.0
male,28,24.39,20.0,104.0,40.2,109.0
female,38,24.51,16.0,100.0,39.9,88.0
female,56,22.76,26.0,100.0,40.9,154.0
female,24,22.84,3.0,88.0,38.8,12.0
female,22,21.98,30.0,111.0,40.6,192.0
male,69,25.7,18.0,91.0,40.0,104.0
female,41,24.22,4.0,83.0,39.0,15.0
male,67,24.97,20.0,101.0,40.6,132.0
female,20,23.37,17.0,94.0,40.3,81.0
male,25,25.9,4.0,84.0,38.9,10.0
female,26,22.21,23.0,97.0,40.7,113.0
male,24,25.4,9.0,91.0,39.6,29.0
male,72,26.58,5.0,79.0,39.0,21.0
female,59,24.9,19.0,97.0,40.1,104.0
male,46,24.46,17.0,103.0,40.4,112.0
male,53,25.73,11.0,90.0,39.7,51.0
male,29,25.15,23.0,104.0,40.6,133.0
male,40,25.76,26.0,116.0,40.9,214.0
female,32,23.31,27.0,107.0,40.4,172.0
female,48,24.54,21.0,92.0,40.3,100.0
female,69,22.49,10.0,91.0,39.6,52.0
female,21,23.23,11.0,88.0,40.0,45.0
female,43,24.0,23.0,106.0,40.7,149.0
female,49,22.32,22.0,96.0,40.7,119.0
male,63,26.88,18.0,98.0,40.6,119.0
male,54,24.49,11.0,96.0,39.9,66.0
male,54,24.31,26.0,96.0,40.7,149.0
male,56,25.46,15.0,95.0,39.9,81.0
male,50,26.25,4.0,87.0,38.9,17.0
female,24,23.56,4.0,87.0,38.8,16.0
male,38,26.16,16.0,97.0,40.4,91.0
female,26,24.74,16.0,98.0,40.2,82.0
male,28,26.26,29.0,104.0,40.8,167.0
female,54,21.53,30.0,113.0,41.1,228.0
female,27,24.06,13.0,87.0,39.9,54.0
male,67,25.18,27.0,101.0,40.8,188.0
female,27,21.88,18.0,111.0,40.4,121.0
female,74,25.31,1.0,83.0,37.8,4.0
male,38,24.62,30.0,111.0,40.9,209.0
female,30,22.68,4.0,90.0,39.0,18.0
female,67,25.1,14.0,93.0,39.9,74.0
male,35,25.5,20.0,105.0,40.5,128.0
male,34,26.04,7.0,84.0,39.2,23.0
female,26,24.46,14.0,92.0,40.2,63.0
male,23,24.88,16.0,92.0,40.4,59.0
male,56,26.3,25.0,105.0,40.5,183.0
female,69,23.44,24.0,104.0,40.9,159.0
male,53,25.38,24.0,105.0,40.8,169.0
female,36,22.21,4.0,83.0,38.9,15.0
male,75,23.03,10.0,84.0,39.6,45.0
female,22,22.95,13.0,93.0,39.8,59.0
female,69,22.2,15.0,98.0,40.0,88.0
male,20,25.96,4.0,86.0,38.6,10.0
female,63,21.99,2.0,86.0,38.7,9.0
female,23,23.05,24.0,105.0,40.8,139.0
male,44,25.98,27.0,104.0,40.7,176.0
female,36,24.45,13.0,101.0,39.9,73.0
male,63,26.58,7.0,87.0,39.7,36.0
male,78,25.64,4.0,85.0,38.6,23.0
female,52,23.94,29.0,111.0,40.8,206.0
female,57,23.53,23.0,102.0,40.5,143.0
female,65,23.44,1.0,79.0,37.9,4.0
female,27,22.66,8.0,86.0,39.5,32.0
male,60,27.1,5.0,87.0,39.4,23.0
male,69,26.59,4.0,93.0,38.8,25.0
female,21,21.47,20.0,110.0,40.7,127.0
male,28,25.13,23.0,107.0,40.5,142.0
female,22,21.55,28.0,107.0,40.8,170.0
female,75,23.11,29.0,102.0,40.8,187.0
male,22,24.72,28.0,111.0,40.8,179.0
female,27,21.91,10.0,92.0,40.2,47.0
female,26,25.26,10.0,85.0,39.9,37.0
female,25,24.25,16.0,105.0,40.3,90.0
female,52,22.72,26.0,110.0,40.8,183.0
female,46,23.46,8.0,84.0,39.8,32.0
male,43,25.7,23.0,106.0,40.6,156.0
female,30,22.68,4.0,86.0,39.0,16.0
male,62,25.77,17.0,96.0,39.9,108.0
male,36,24.03,23.0,110.0,40.7,157.0
female,31,23.18,22.0,108.0,40.6,139.0
male,21,26.2,7.0,91.0,39.3,24.0
female,61,25.47,8.0,82.0,39.4,31.0
female,28,20.7,15.0,105.0,39.9,92.0
female,30,24.54,1.0,67.0,38.1,2.0
male,70,24.36,12.0,88.0,40.3,64.0
male,66,26.15,8.0,89.0,39.9,41.0
female,51,24.06,29.0,107.0,41.1,188.0
female,20,23.53,5.0,85.0,39.3,20.0
male,26,22.91,18.0,93.0,40.7,64.0
female,24,22.76,8.0,95.0,39.5,38.0
male,62,26.21,3.0,86.0,38.2,15.0
male,37,26.31,27.0,103.0,40.7,169.0
female,28,22.06,26.0,107.0,40.9,165.0
male,22,25.1,15.0,93.0,40.6,53.0
female,30,22.49,5.0,75.0,39.3,14.0
male,37,26.82,1.0,76.0,37.7,2.0
female,52,24.98,12.0,91.0,40.2,58.0
male,45,26.3,8.0,99.0,39.7,49.0
female,73,22.51,19.0,98.0,40.4,117.0
female,38,24.3,14.0,82.0,40.5,49.0
male,75,26.29,22.0,97.0,40.7,154.0
male,40,24.24,19.0,92.0,40.5,89.0
female,27,23.42,22.0,102.0,40.9,124.0
male,56,27.17,5.0,81.0,39.0,19.0
female,35,22.66,8.0,95.0,39.7,39.0
female,21,21.48,3.0,81.0,38.7,10.0
female,23,25.56,15.0,86.0,39.9,56.0
female,24,22.59,24.0,97.0,40.6,121.0
female,40,24.11,20.0,97.0,40.5,102.0
female,28,21.3,1.0,81.0,37.7,3.0
female,39,22.68,17.0,95.0,40.4,87.0
female,34,24.92,8.0,96.0,39.7,41.0
female,63,23.34,29.0,106.0,40.8,196.0
male,38,25.71,23.0,108.0,40.3,158.0
male,59,25.83,7.0,89.0,39.4,34.0
female,22,22.18,22.0,99.0,40.7,120.0
male,25,25.65,28.0,102.0,40.8,141.0
male,38,27.31,6.0,97.0,39.5,30.0
female,30,23.18,14.0,94.0,40.2,67.0
male,57,27.47,26.0,105.0,41.0,208.0
female,48,22.19,23.0,106.0,40.4,151.0
female,45,23.83,13.0,102.0,40.1,78.0
male,77,25.24,17.0,92.0,40.1,113.0
female,42,24.69,2.0,85.0,38.2,8.0
female,23,22.6,14.0,86.0,40.3,56.0
female,37,23.05,9.0,95.0,39.9,46.0
female,22,23.46,8.0,90.0,39.3,34.0
male,36,24.76,8.0,90.0,39.5,31.0
female,21,23.16,16.0,89.0,40.2,62.0
female,62,23.04,8.0,84.0,39.6,34.0
female,41,22.31,11.0,91.0,39.8,52.0
female,57,22.59,21.0,100.0,40.5,125.0
female,31,23.12,10.0,95.0,40.0,50.0
female,35,22.48,17.0,101.0,40.4,99.0
female,54,22.79,13.0,93.0,40.0,64.0
female,37,24.91,19.0,89.0,40.1,83.0
male,38,23.85,3.0,82.0,38.7,9.0
female,26,22.04,17.0,95.0,40.4,84.0
female,78,23.34,8.0,88.0,39.8,41.0
female,62,21.99,27.0,98.0,40.6,160.0
female,21,21.64,1.0,86.0,37.3,4.0
male,77,25.08,9.0,88.0,39.9,51.0
female,28,23.24,12.0,92.0,39.9,55.0
male,20,24.91,29.0,113.0,40.9,185.0
male,45,25.45,8.0,82.0,39.6,26.0
female,35,22.15,24.0,102.0,40.6,138.0
male,49,24.05,22.0,106.0,40.8,154.0
female,75,23.28,30.0,104.0,40.9,206.0
female,58,24.12,24.0,104.0,40.3,156.0
female,44,21.63,12.0,100.0,40.1,70.0
male,53,24.11,15.0,98.0,40.2,88.0
female,35,22.86,13.0,101.0,39.8,74.0
female,32,24.03,17.0,105.0,40.0,104.0
female,21,21.88,11.0,84.0,39.9,41.0
female,70,25.56,8.0,93.0,39.5,42.0
male,78,24.97,21.0,100.0,40.5,155.0
female,37,24.02,26.0,108.0,40.7,166.0
male,20,24.34,15.0,88.0,40.3,41.0
female,23,21.91,30.0,112.0,40.9,203.0
male,46,26.79,16.0,98.0,39.9,90.0
female,22,24.3,1.0,73.0,37.5,2.0
male,54,24.78,14.0,101.0,40.2,90.0
male,22,25.25,14.0,94.0,40.0,58.0
female,35,25.0,21.0,99.0,40.4,116.0
female,46,25.15,7.0,92.0,39.4,34.0
male,22,25.49,14.0,98.0,40.2,65.0
female,65,23.23,24.0,105.0,40.8,161.0
male,35,24.03,25.0,105.0,40.6,150.0
male,45,24.97,2.0,87.0,38.4,8.0
female,33,23.71,27.0,102.0,40.6,155.0
male,78,25.2,28.0,104.0,41.1,230.0
female,77,24.3,28.0,106.0,40.9,195.0
female,24,23.23,25.0,106.0,40.8,150.0
male,55,26.85,21.0,100.0,40.6,141.0
male,59,26.49,19.0,104.0,41.0,136.0
male,33,26.59,14.0,94.0,40.1,66.0
female,75,23.99,6.0,90.0,39.2,30.0
female,31,21.23,10.0,91.0,40.0,47.0
male,31,24.73,23.0,100.0,40.9,125.0
male,37,24.34,14.0,97.0,40.3,67.0
male,45,25.22,24.0,104.0,40.5,153.0
female,42,21.09,25.0,106.0,41.1,161.0
male,46,24.66,20.0,104.0,40.4,129.0
male,20,25.31,11.0,92.0,40.1,38.0
male,25,22.74,10.0,83.0,39.7,22.0
female,21,21.67,27.0,113.0,40.7,183.0
female,44,23.46,24.0,88.0,40.9,105.0
female,59,24.77,2.0,77.0,38.3,7.0
female,56,22.67,6.0,88.0,39.3,29.0
female,25,22.89,18.0,95.0,40.8,89.0
male,29,23.45,15.0,97.0,40.1,69.0
female,34,22.55,5.0,89.0,39.2,22.0
male,71,27.17,24.0,102.0,40.9,183.0
male,41,24.78,11.0,96.0,39.8,56.0
male,32,24.3,29.0,112.0,40.5,201.0
male,35,25.28,4.0,79.0,38.8,8.0
male,66,25.68,15.0,94.0,40.3,91.0
female,20,23.14,23.0,111.0,40.7,149.0
female,27,22.84,5.0,82.0,39.1,17.0
female,47,24.61,6.0,89.0,39.5,27.0
female,44,22.13,8.0,87.0,39.9,34.0
female,30,22.83,29.0,117.0,40.7,214.0
female,55,24.58,9.0,90.0,39.7,42.0
male,55,26.04,24.0,97.0,40.8,148.0
female,79,25.2,16.0,94.0,40.5,92.0
male,75,24.96,22.0,97.0,40.6,146.0
female,52,22.27,25.0,105.0,40.7,162.0
male,50,27.17,15.0,108.0,40.0,112.0
male,67,27.16,15.0,100.0,40.2,106.0
male,20,25.5,23.0,101.0,40.7,120.0
female,26,24.51,19.0,99.0,40.6,99.0
male,23,25.77,21.0,105.0,40.2,111.0
female,33,22.5,6.0,90.0,39.3,27.0
female,29,21.3,9.0,84.0,39.5,34.0
male,31,27.16,21.0,94.0,40.6,96.0
male,48,25.77,21.0,102.0,40.4,139.0
male,59,25.24,24.0,101.0,40.8,166.0
male,78,29.03,1.0,79.0,37.6,5.0
female,45,23.15,4.0,84.0,38.7,16.0
female,71,22.04,12.0,93.0,40.1,66.0
male,31,25.25,27.0,107.0,40.7,167.0
female,46,23.14,8.0,83.0,39.4,33.0
female,28,24.09,14.0,98.0,40.4,73.0
female,32,22.27,27.0,110.0,40.7,180.0
male,31,22.94,1.0,84.0,37.5,3.0
male,32,26.99,16.0,98.0,40.3,77.0
female,63,24.9,3.0,73.0,38.6,9.0
female,71,25.07,9.0,97.0,39.6,53.0
male,63,26.7,15.0,101.0,40.5,102.0
female,33,22.78,23.0,104.0,40.8,134.0
male,22,23.53,21.0,103.0,40.4,103.0
female,59,23.07,26.0,108.0,40.9,181.0
male,54,25.2,24.0,103.0,40.2,166.0
male,73,26.35,24.0,102.0,41.1,174.0
female,21,22.6,2.0,78.0,38.1,6.0
female,52,24.09,18.0,95.0,40.6,95.0
male,36,25.48,19.0,98.0,40.6,101.0
female,23,21.11,18.0,96.0,40.2,93.0
female,30,23.53,30.0,106.0,40.8,184.0
male,25,26.23,23.0,105.0,41.0,131.0
male,73,26.04,10.0,87.0,40.0,56.0
female,25,22.22,21.0,107.0,40.5,133.0
female,20,23.03,15.0,94.0,40.1,69.0
male,63,25.9,16.0,92.0,40.2,89.0
female,42,22.66,17.0,91.0,40.5,82.0
male,30,25.96,25.0,94.0,41.0,108.0
female,31,23.23,26.0,104.0,40.8,154.0
female,21,24.16,12.0,96.0,40.0,57.0
female,29,24.24,25.0,94.0,40.7,123.0
male,46,24.91,16.0,94.0,40.1,76.0
female,51,25.62,15.0,87.0,40.5,63.0
female,32,23.11,24.0,109.0,40.8,154.0
